SIREN;NIC;L1_NORMALISEE;CODPOS
006871438;00039;MONSIEUR ALBERT RAMBAUD;44110
006871859;00010;MONSIEUR DANIEL DAUCE;44350
006871875;00016;CAFE DU MARCHE;44600
006872584;00013;MADAME MARIE LE GALL;44490
006872725;00012;MONSIEUR JEAN HAREL;44600
006873020;00025;MONSIEUR JEAN GUYOT;44410
006874200;00014;CAMPING DU BUGEAU;44380
006880090;00029;PONTCHATELAINE EQUIPEMENTS CIDRICOLES;44160
006910079;00018;MADAME MARYLISE LOQUET;80210
006910392;00023;MONSIEUR MARCEL LECOLIER;34300
006910830;00014;MADAME CHRISTIANE CARETTE;80120
006920037;00014;CREPELLE ET COMPAGNIE;80100
006940043;00042;MADAME MARIE BONNABEL;04300
006940175;00018;MONSIEUR GERARD BONDIL;04360
006940175;00026;CENTRE DES MAGNANS;04360
006940175;00034;MONSIEUR GERARD BONDIL;83630
006940449;00025;MONSIEUR JACQUES ROUVIER;04170
006940498;00048;MONSIEUR JEAN CHAILLAN;04330
006941447;00010;MONSIEUR ROGER BOUDOUARD;04700
006941546;00019;CAFE D AUZET;04140
006950034;00022;BOUCHERIE CHEVALINE CHANZY;04000
006950034;00030;BOUCHERIE CHEVALINE CHANZY;04000
006950042;00017;AU VIEUX MOUSTIERS;04360
006950059;00029;ENTREPRISE D'ANGELO;04100
006950059;00037;ENTREPRISE D ANGELO;04300
006950059;00045;ENTREPRISE D ANGELO;04220
006950125;00010;HOTEL LE TOUKAL;04260
006950182;00029;SARL UVERNET BACHELARD;13013
006970529;00027;MONSIEUR EUGENE VIAUD;44350
006970578;00024;MONSIEUR ROBERT CHANTREAU;56130
006970693;00021;MONSIEUR ROGER GIRAUDEAU;44130
006971022;00030;MONSIEUR ROBERT BELLANGER;44500
006971022;00048;MONSIEUR ROBERT BELLANGER;32000
006971188;00013;MADAME HUGUETTE MAHE;44720
006971410;00045;MONSIEUR YVES THOMAS;44600
006972608;00035;MONSIEUR MARCEL PITRE;44400
006972806;00019;MONSIEUR JEAN BOUCAUD;44460
006972848;00029;MADAME ODILE LELECQUE;44350
006973234;00013;MONSIEUR SERGE LENEZET;44130
006973606;00038;MONSIEUR DOMINIQUE LACHAUD;44420
006973606;00046;MONSIEUR DOMINIQUE LACHAUD;44420
006973788;00026;MONSIEUR ARMEL JAFFRE;44380
006973804;00021;MONSIEUR FRANCOIS BERLIVET;44490
006973804;00039;MONSIEUR FRANCOIS BERLIVET;44350
006974158;00021;MONSIEUR RENE HEURTEBIZE;44250
006974349;00026;MONSIEUR ROBERT LEHOURS;44410
006980155;00011;SOCIETE DES DUNES;44500
006980205;00014;TESSIER ELECTRICITE;44600
006980239;00013;ATELIERS DE LA PROVIDENCE;44550
006980387;00036;SOCIETE DES ETABLISSEMENTS ALLAIRE;44117
006980387;00044;SOCIETE DES ETABLISSEMENTS ALLAIRE;44480
006980395;00013;L ETABLI GUERANDAIS STE;44350
006980478;00017;FONCIERE GIROUETTE;44500
007010424;00039;MONSIEUR MICHEL NICOLAY;80550
007010887;00037;MONSIEUR JEAN PIERRE DELAMOTTE;06600
007011109;00019;CARROSSERIE COPIN;80100
007011208;00043;MONSIEUR JACQUES VAN MELE;83980
007020134;00024;GROUPE SOGAL;60130
007020134;00032;GROUPE SOGAL;60220
007020134;00040;GROUPE SOGAL;92100
007020183;00013;LA CIVETTE;80100
007040017;00019;STATION SAINT MICHEL;04120
007040132;00032;MONSIEUR GUY FONTAINE;04400
007040579;00018;MONSIEUR CLAUDE CHAILAN;04170
007041320;00024;MONSIEUR JEROME LORENZELLI;04170
007050040;00018;CENTRE DES CARMES;04510
007050065;00015;SOC EXPLOIT TRAVAUX PUBLICS;04700
007050123;00038;SOCIETE DES ETABLISSEMENTS H GUIGUES;04000
007050149;00017;SARL DURANCE BETON;04210
007060031;00015;GIE GROUPE SAINT JEAN;04140
007070535;00013;MONSIEUR MARIO DI GIULIO;44600
007070568;00022;MONSIEUR PATRICK BERNARD;44600
007070568;00030;MONSIEUR PATRICK BERNARD;44380
007070865;00022;MONSIEUR MICHEL TRELCAT;44380
007071566;00017;MADAME PIERRETTE LE GARGASSON;44510
007071715;00028;MONSIEUR ROGER BREHIN;44600
007080013;00027;COOPERATIVE MARITIME;44490
007080021;00012;SOC COOP APPROVISIONNEMENT OUEST;44360
007080021;00020;SOC COOP APPROVISIONNEMENT OUEST;44260
007080039;00022;MEGALITHES;44600
007080054;00013;LOUIS HEMERY;44460
007080195;00022;LANG CONSTRUCTION;44600
007080195;00030;LANG CONSTRUCTION;44600
007080229;00011;ENTREPRISE ROUAUD;44600
007080260;00016;INTERMARCHE;44600
007080302;00032;SARL DE COURTAGE JP BOUIN ET CIE;44350
007080443;00026;LAITERIE DU GRAND CLOS;44200
007080443;00034;LAITERIE DU GRAND CLOS;44160
007080526;00028;MECANAVALE SARL;44490
007080708;00022;OPTIC 2000;44000
007080757;00052;CHAUDRONNERIE NAVALE ET INDUSTRIELLE;44550
007080773;00018;CARRIERS MEN ARVOR;44460
007080773;00034;CARRIERS MEN ARVOR;35550
007080773;00091;CARRIERS MEN ARVOR;91700
007080773;00117;CARRIERS MEN ARVOR;56600
007080773;00125;CARRIERS MEN ARVOR;22630
007080773;00133;CARRIERS MEN ARVOR;29930
007080773;00141;CARRIERS MEN ARVOR;56880
007080773;00158;CARRIERS MEN ARVOR;44470
007080773;00174;CARRIERS MEN ARVOR;87500
007080773;00182;CARRIERS MEN ARVOR;35740
007080773;00208;DOLMEN LYON SORTIE GIVORS OUEST;69700
007080773;00232;PIERRE DE L YONNE;89310
007080773;00240;DOLMEN PONT AVEN;29930
007080773;00265;CARRIERS MEN ARVOR;89740
007080773;00281;DOLMEN DINARD;35780
007080773;00323;CARRIERS MEN ARVOR;56130
007080773;00331;CARRIERES MEN ARVOR;21550
007080773;00349;CARRIERS MEN ARVOR;44500
007080773;00356;CARRIERES MEN ARVOR;29610
007110208;00035;RATTACHEMENT MAIRIE;80100
007110455;00016;RATTACHEMENT MAIRIE;80100
007110729;00014;MONSIEUR ISRAEL MICHEL;80132
007111115;00080;MADAME MARYSE GROIGNET;80550
007120066;00027;SOCIETE LECLERC IMPRIMERIE;80100
007120082;00040;ENTREPRISE DE BATIMENT FLAQUET;62180
007120090;00019;GUILLAUME STUDIO;80100
007120108;00035;BRUNELLE PRESSING;80000
007120231;00019;ENTREPRISE BARRE;80100
007120231;00027;ENTREPRISE BARRE;80100
007120231;00035;ENTREPRISE BARRE;77310
007140163;00028;MONSIEUR GUY DESPLANS;26230
007140858;00031;HOTEL DES COLONNES;04800
007141443;00015;MONSIEUR JEAN BONDIL;04360
007141443;00023;MONSIEUR JEAN BONDIL;04360
007150030;00018;SARL HOTEL LE SAINT JEAN;04140
007150170;00038;ETABLISSEMENTS BIBAL;04160
007150303;00027;D MAFFREN;05300
007170392;00018;MONSIEUR JEAN JARNO;44420
007171754;00018;MONSIEUR ROGER HELIGON;44460
007171754;00026;LE SURCOUF;44000
007171754;00042;MONSIEUR ROGER HELIGON;73210
007171986;00024;MONSIEUR JEAN DALINO;44510
